,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3
479,479.0,0.012253954470561011,0.013291984505541815,0.0013153373764893993,0.16973595708841455,0.2302285683748778,0.08157462939384463,0.007766138086162176,-1.95140549288189e-20,0.08643573984708938,0.008639955163342134,2.887488186976452e-20,0.018593360891330506,0.018574634938383627,0.0031697444035671102,0.00289180195541116,0.018571266888916783,0.01857332980337253,0.006357050890801424,0.002734153502387885,2600.0,0.015266244541996637,0.016180234646307558,0.015655488659443714,0.015494168882287149,0.0,0.0,0.0,0.0,0.015441487189022236,0.016334111941298617,0.01574294600808896,0.015686604964285665,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
480,480.0,0.01225433293510476,0.013291716256862905,0.0013153291055136998,0.22375587696442376,0.19453973704949018,0.08157473392855194,0.007765913851201771,-6.043858709186424e-08,0.08643560540962168,0.008639692499031095,3.5383107433914837e-20,0.018591374955993247,0.018573928299196536,0.003786677453899706,0.002275147155160035,0.018591644795381584,0.018572579159246535,0.0022929173079318846,0.005075262370519291,2601.0,0.015266513432977335,0.016181346683431026,0.015656014786299723,0.015494701378802217,0.0,0.0,0.0,0.0,0.015440508973928449,0.016334187846338166,0.015741850401814902,0.015686093953859264,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
481,481.0,0.01227035622863983,0.013285978485828607,0.0013145255976075997,0.21133253310690633,0.22337951919180338,0.08161813087212856,0.007785946284313465,1.479330132311636e-19,0.0864210231181969,0.008647225922945794,3.591496193532065e-20,0.01861571661777519,0.01854677197709871,0.00350463625509287,0.00402596005005759,0.018595831901422187,0.018577950585868364,0.009439366718288471,0.011383914551697617,2700.0,0.015239348040467702,0.016147470844141927,0.015630733788824142,0.015465674399545529,0.0,0.0,0.0,0.0,0.015461488495416278,0.016359106515498968,0.015753747339029258,0.015707735364578708,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
482,482.0,0.012271774420108041,0.013284671232953177,0.0013145176322581003,0.20658035093802027,0.1837586555397138,0.08161917041825288,0.00778599679296704,-2.9991365464729154e-08,0.0864196858763548,0.008646809714089067,1.3516296258424377e-19,0.018618264502044915,0.018551582342146454,0.005640317109646224,0.0037058269430417052,0.01861702369560277,0.01854754474481237,0.00254368214518758,0.0035986128496005598,2701.0,0.015243254832703227,0.01615128562630575,0.01563405362759564,0.015469635048390478,0.0,0.0,0.0,0.0,0.015463019664734418,0.01636239863836591,0.015754943248067654,0.015710491182714944,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
483,483.0,0.012305231709496605,0.013283550029032374,0.0013137432915866993,0.2121692302287556,0.22276180371409277,0.08163790720686438,0.007797619490945906,-8.878417556500713e-09,0.08635597381754126,0.00864337129916295,2.0333154697109706e-19,0.01863529484432056,0.018566492193929023,0.00280576190561982,0.0026721471454947653,0.018635902983322426,0.018568235148333855,0.0049810419499408,0.0054846470884512746,2800.0,0.015240684604402688,0.016150020134055317,0.015633128512026327,0.015473989982542574,0.0,0.0,0.0,0.0,0.01545289413603775,0.016362919464562142,0.015752490789881796,0.015711788519006537,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484,484.0,0.012306212219597292,0.013282934575558139,0.0013137356102474003,0.20792097373632715,0.23670895833638492,0.08164059777921359,0.007798568516919045,7.317699159611477e-20,0.08635728584897337,0.008644047710175904,1.6729445739732256e-19,0.018634655422942514,0.01856836233743254,0.0027912907069548502,0.004556282283738211,0.01863537804593879,0.018565912557857066,0.00366758829914028,0.0033708848583045743,2801.0,0.015241321120083275,0.016151362540543543,0.0156342725181155,0.015475185802948896,0.0,0.0,0.0,0.0,0.015451656265484868,0.016361518348804883,0.01575089632961418,0.01571066897904582,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
485,485.0,0.012341030964637989,0.01330341388417022,0.0013129884088415,0.20005386281409296,0.305062990100123,0.08170330353274106,0.007823232472004041,1.2337666168163179e-07,0.08634699123033442,0.008674213567966133,4.200657650260403e-19,0.018677300404338973,0.01862341653479947,0.0038058601028751046,0.00584333579754452,0.018676182981936407,0.018608941583889285,0.00347673184587616,0.00276183515670705,2900.0,0.015258495491899435,0.016172192533249977,0.01564847546377539,0.015493345198539768,0.0,0.0,0.0,0.0,0.015458122082693499,0.016372665159140286,0.0157587480529785,0.01571864413446248,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
486,486.0,0.0123392125757221,0.013300212859586689,0.0013129809921058997,0.22258964353823102,0.18046137840137816,0.08170168869328247,0.007822785555772255,1.0578555590958084e-07,0.08634457408215769,0.00867359691991786,3.772368612237982e-19,0.01867493212910181,0.01862301605779492,0.0036969920562114162,0.00784466744516972,0.0186748557520572,0.018622639412425524,0.003109122248133595,0.003688646829686995,2901.0,0.015258661038950924,0.016171923675169418,0.015649270270946522,0.015493639721417438,0.0,0.0,0.0,0.0,0.01545813486904834,0.01637303308807197,0.015758986763541157,0.015718825555232907,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
487,487.0,0.01233348343241589,0.013296564094290642,0.0013122591059064994,0.18481002407497724,0.19806625405326486,0.0817219046871658,0.007828927914758092,3.270888102493635e-09,0.08630400095103631,0.008687383650426386,4.3301342810039694e-20,0.018692655977696763,0.01866669573733048,0.0046773404988925404,0.0029109256400260456,0.01867274863708032,0.018609719767094045,0.006369447894394349,0.0035643270879517656,3000.0,0.015303999317933322,0.01624232423954304,0.01571946487892308,0.015548396974343601,0.0,0.0,0.0,0.0,0.015466939096472388,0.016382341996703593,0.015758396395821134,0.01572679966176354,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
488,488.0,0.008187885063021195,0.008038084984345276,0.0009368797094026999,0.23832544789183885,0.19586448765476233,0.05575884049279749,0.0037657281176458357,2.2901257119340132e-21,0.05575494579732716,0.00380718322532108,-3.273205632000367e-20,0.013254177076078153,0.012752322355106155,0.00018363625276828497,0.00108310420764605,0.0,0.0,0.000176218309206835,0.00017852459568525,0.0,0.019023799353770587,0.020407439788997055,0.019740517792564614,0.019797240594972603,0.0,0.0,0.0,0.0,0.01918656071884553,0.020544496530460258,0.020012166704151475,0.01995517451803834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
