,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,t
264,-0.024602105983721805,-0.018754638163352474,0.0002827463830599423,157.665092746,-0.01898531382851132,-0.020339715350199353,1.0,1.0,,,0.0,0.0,,,1026
265,-0.024602105983721805,-0.018754638163352474,0.00028242124834755664,157.665092746,-0.01898531382851132,-0.020339715350199353,1.0,1.0,,,0.0,0.0,,,1050
266,-0.024602105983721805,-0.018754638163352474,0.00028240787011068775,157.665092746,-0.01898531382851132,-0.020339715350199353,1.0,1.0,,,0.0,0.0,,,1051
267,-0.024602105983721805,-0.018754638163352474,0.00028209072275640147,157.665092746,-0.01898531382851132,-0.020339715350199353,1.0,1.0,,,0.0,0.0,,,1075
268,-0.024602105983721805,-0.018754638163352474,0.0002820776693451967,157.665092746,-0.01898531382851132,-0.020339715350199353,1.0,1.0,,,0.0,0.0,,,1076
269,-0.02477210710984569,-0.018858447463662092,0.00028176813499705905,179.855238099,-0.01900004421007084,-0.020429358961407452,1.0,1.0,,,0.0,0.0,,,1100
270,-0.02477539865760978,-0.018863506648606712,0.00028175539136149395,191.160707481,-0.019000405473535886,-0.02042984463937799,1.0,1.0,,,0.0,0.0,,,1101
271,-0.02477539865760978,-0.018863506648606712,0.0002814531211887803,191.160707481,-0.019000405473535886,-0.02042984463937799,1.0,1.0,,,0.0,0.0,,,1125
272,-0.02477539865760978,-0.018863506648606712,0.0002814406732933558,191.160707481,-0.019000405473535886,-0.02042984463937799,1.0,1.0,,,0.0,0.0,,,1126
273,-0.02477539865760978,-0.018863506648606712,0.00028114534172664975,191.160707481,-0.019000405473535886,-0.02042984463937799,1.0,1.0,,,0.0,0.0,,,1150
274,-0.02477539865760978,-0.018863506648606712,0.0002811331764615439,191.160707481,-0.019000405473535886,-0.02042984463937799,1.0,1.0,,,0.0,0.0,,,1151
275,-0.02477539865760978,-0.018863506648606712,0.00028084447917701706,191.160707481,-0.019000405473535886,-0.02042984463937799,1.0,1.0,,,0.0,0.0,,,1175
276,-0.02477539865760978,-0.018863506648606712,0.0002808325842787333,191.160707481,-0.019000405473535886,-0.02042984463937799,1.0,1.0,,,0.0,0.0,,,1176
277,-0.024878964143940554,-0.01888948902737688,0.00028055023639567145,225.36240205,-0.018960668260074733,-0.020418036073136206,1.0,1.0,,,0.0,0.0,,,1200
278,-0.02485752411079858,-0.018867218017372664,0.0002805386003759936,223.58795406,-0.018952021397468405,-0.020415388195324735,1.0,1.0,,,0.0,0.0,,,1201
279,-0.02485752411079858,-0.018867218017372664,0.00028026233484109645,223.58795406,-0.018952021397468405,-0.020415388195324735,1.0,1.0,,,0.0,0.0,,,1225
280,-0.02485752411079858,-0.018867218017372664,0.0002802509469233286,223.58795406,-0.018952021397468405,-0.020415388195324735,1.0,1.0,,,0.0,0.0,,,1226
