,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,online_pca_time,online_pca_k,MRO_pca_time,MRO_pca_k,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
447,447.0,0.009629766924919712,0.010132282029115819,0.007052314873337401,0.02501883978577877,0.02484983906396478,0.0026631355285644093,62.9,0.0026631355285644093,62.9,0.17708726358603363,0.03599263665782231,0.00170177966075355,0.17897542120873444,0.037389592986522585,0.0018437088389885899,0.018611025312022432,0.01808253007680538,0.00046143460000000003,0.00047321660000000003,0.019043659015380448,0.018237250548569783,0.0004706656,0.0004771035,150.0,0.012387349913427739,0.011959180027141438,0.01283746284686435,0.01242558192546526,0.1,0.2,0.013365427497501942,0.01293467695808979,0.0,0.1,1.0,1.0,1.0,1.0
448,448.0,0.00966505424427514,0.01020001051458297,0.0070511811478876,0.022382466707324168,0.02310636647747799,0.0,62.9,0.0,62.9,0.1771773505866232,0.03599752126824407,0.00169541196928798,0.1792190021182852,0.03745798291086187,0.0018516696501747303,0.018659584539222986,0.01816227872399557,0.0004806217,0.0004923717,0.0186612078912644,0.018128791516310853,0.0004902086,0.0004931905999999999,151.0,0.01239900358213858,0.011975716039466651,0.012828812513056329,0.01246354068757735,0.1,0.2,0.013325072118185649,0.01289136084582643,0.0,0.1,1.0,1.0,1.0,1.0
449,449.0,0.00975117105787376,0.01029443424403425,0.007041300652157101,0.0261604403304809,0.02593628557019038,0.00275578498840328,64.5,0.00275578498840328,64.5,0.17893631901787382,0.03652087468282204,0.0017367621485696598,0.18123436342400182,0.03814204563751275,0.00190251558946168,0.01877615733855682,0.01821109670454681,0.0005064807,0.0005107696999999999,0.01882415112890102,0.0183347826683943,0.0005112236,0.0005124396,160.0,0.011808982592873581,0.011407965778329181,0.012880982665479601,0.012560480467044433,0.1,0.2,0.013286759933791761,0.0129908879081093,0.1,0.1,1.0,1.0,1.0,1.0
450,450.0,0.00984066589508822,0.010349286129410148,0.007040237088671001,0.0233605531070556,0.02297558037398676,0.0,64.5,0.0,64.5,0.17948768256389347,0.036833757919544505,0.00174506187321272,0.18169717039407948,0.03838047518386921,0.0018880979796352102,0.01878001594686899,0.018282883893296006,0.0005077737,0.0005174036,0.018877158768642318,0.01826708118739234,0.0005155667,0.0005186029,161.0,0.011825935063662352,0.011428547708450091,0.012887212685832612,0.012556203909597618,0.2,0.2,0.01325243631875766,0.012949875517327592,0.1,0.2,1.0,1.0,1.0,1.0
451,451.0,0.00972586029031991,0.01037880240305759,0.007030950425400301,0.02612633324501949,0.02799530902828366,0.00284802913665766,65.7,0.00284802913665766,65.7,0.18118675788023134,0.03744396557010674,0.0017366809737022,0.18422641470613116,0.03926595427889419,0.0018724895361436802,0.018311079406781443,0.01794220771273059,0.0005269917,0.0005631278999999999,0.01892985285956684,0.01843099298188898,0.0005534348999999999,0.000555069,170.0,0.01152234977096038,0.01092044155853158,0.012903966856362432,0.01230593207809527,0.2,0.2,0.013209220154873969,0.01254716947759372,0.1,0.2,0.9,1.0,1.0,1.0
452,452.0,0.00969207058970624,0.010351403131818277,0.007029948934133999,0.023035069935290482,0.02363154811157223,0.0,65.7,0.0,65.7,0.18123866949290535,0.03743908694454169,0.00173675665979783,0.18428146527957726,0.039265058819876235,0.0018730956492420399,0.018317845709349693,0.017916340068973323,0.0005414266,0.0005644409999999999,0.01828515938904862,0.01791453495820389,0.0005546329,0.0005718038,171.0,0.01153703965010046,0.0109386538790641,0.012918768633499712,0.012309333673787991,0.1,0.2,0.01324848844491941,0.012564554049505999,0.1,0.2,0.9,1.0,1.0,1.0
453,453.0,0.00970062579316075,0.01036178458406337,0.007021189485429598,0.02681934933807369,0.02882951835395502,0.00285556316375729,67.5,0.00285556316375729,67.5,0.18206027236387967,0.0375605331253905,0.0017869312684821899,0.18565197621229065,0.03964184662663371,0.00189156417474318,0.018243985648616106,0.017869129394789803,0.0005881971000000001,0.0006107978,0.01828384037762811,0.017876196238554007,0.0005958199000000001,0.0005941407,180.0,0.011044619707272791,0.01049421610865148,0.012988362876054881,0.012525574828850519,0.1,0.2,0.013351302709682262,0.012882015921348512,0.1,0.2,0.9,1.0,1.0,1.0
454,454.0,0.009734693893518461,0.010403955095591949,0.0070202432949468,0.02315803370349116,0.02470500546802974,0.0,67.5,0.0,67.5,0.18218122224849745,0.037602931978870976,0.0017908519586621497,0.18577750786991026,0.03968504792643592,0.0018870090946035499,0.01828585270722359,0.017927817976983045,0.0005703471,0.0005743886,0.01829757959881026,0.01793961332642316,0.0005773514,0.0005822523,181.0,0.01106204617080787,0.01051492068287166,0.012951139983746801,0.01248104677734065,0.1,0.2,0.013391133260467269,0.012912791683864031,0.1,0.2,0.9,1.0,1.0,1.0
455,455.0,0.00965909994523341,0.010553368107932169,0.0070119550227693995,0.026459650932543894,0.02964039618156732,0.0030586481094359895,68.6,0.0030586481094359895,68.6,0.1837487586160555,0.03820743687483411,0.00181424944494206,0.1871782848988172,0.0402389608608322,0.00190025926285759,0.01835305847931369,0.01806166194140637,0.0005965591999999999,0.0007609149999999999,0.018370806054754128,0.018007620097789077,0.0006157291,0.0006270853000000001,190.0,0.010662878690220198,0.010104912745034179,0.01302028758125635,0.012297034002345861,0.1,0.2,0.0134403590368014,0.01272811954537261,0.1,0.1,0.9,1.0,1.0,1.0
456,456.0,0.009646572702513432,0.010577011724410699,0.007011058408703698,0.023754632741418417,0.026180100730309998,0.0,68.6,0.0,68.6,0.18364726876118515,0.038178629608175106,0.0018223444221437198,0.1872758140295287,0.040250373124375564,0.00189953805765204,0.018321538004950698,0.01817905683220368,0.0005998402,0.0006195431,0.01835041984241231,0.018081658425581064,0.0006125853,0.0006136573,191.0,0.01068118011788629,0.01012875645642823,0.01303387853586516,0.012331153906566108,0.1,0.2,0.013423692390005609,0.01272865091837499,0.1,0.1,0.9,1.0,1.0,1.0
