,Unnamed: 0,Unnamed: 0.1,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
39,39.0,39.0,0.014338623770541731,0.017632812008734143,0.005931096568107699,1010.5739213543944,238.94855792983435,0.11330122505172961,0.01413139673774449,0.0028300578201883105,0.1198490080698752,0.015956271160422072,0.00314851747443266,0.025878546660156883,0.024117537132119997,0.0007041128119453301,0.0006939165759831101,0.025877358589869132,0.024116430234293253,0.00066662039607759,0.00064502921886738,751.0,0.0011566464062238101,0.002460110443465,0.0138478722140951,0.01358194974965351,1.0,1.0,0.01559581000250417,0.01568479021450386,0.4,0.3,1.0,1.0,1.0,1.0
40,40.0,40.0,0.014462381652090368,0.017636733316173568,0.0059217919190280004,907.9270399646135,230.9040550276637,0.11312189537542354,0.01408503325473114,0.0028195020514030196,0.11936430175277386,0.01583043141365536,0.00312912963327936,0.02560676264273245,0.02396849068713238,0.0016126024536787897,0.0006743235280736801,0.025810204591558382,0.024054280504063174,0.0006883885944261399,0.00067767468281086,800.0,0.00110223457057352,0.0023249138576619697,0.01372080120293315,0.013496206472805972,1.0,1.0,0.015464517120844248,0.015329165612338849,0.3,0.4,1.0,1.0,1.0,1.0
41,41.0,41.0,0.01446066994499276,0.017646707205118208,0.005921608129432001,919.6264292769599,192.7050993031822,0.11311287749303596,0.01408186454573879,0.0028121060626394296,0.11935299612903442,0.01582624261479939,0.0031300501144191097,0.02560860696921134,0.023953287030846312,0.00073545412160452,0.0006816927110775701,0.025608670774683207,0.023978590306019426,0.00069308881647879,0.00067582644987846,801.0,0.0011156103803227897,0.0023367660711049805,0.01378074301605324,0.013442946914688508,1.0,1.0,0.01546633943505534,0.015329380388619399,0.3,0.4,1.0,1.0,1.0,1.0
42,42.0,42.0,0.014464729608866361,0.01761809876232368,0.005912877575518601,905.1500376061304,173.26089233788662,0.11342034094473503,0.014161607205762938,0.0028391644024025097,0.11952631205237396,0.01588910343363752,0.0031454584228997303,0.02557573007200011,0.024005547189323812,0.0007874257164075498,0.0007133970037102001,0.025648868948070707,0.023985665842375638,0.00072035500779742,0.00070258870255197,850.0,0.00106556041478078,0.0022163219852479694,0.01379531140187332,0.01344219305962339,1.0,1.0,0.015035569079118941,0.015269639637515722,0.4,0.5,1.0,1.0,1.0,1.0
43,43.0,43.0,0.014469645371399562,0.01763170073667288,0.005912704787913301,925.0603308043908,183.155552487541,0.11343253800289196,0.01416421296140331,0.0028485094603193204,0.11952887554869032,0.01588899340055324,0.0031436507787338495,0.025597678386659845,0.02408171018001601,0.0007923078257590001,0.00072250769007946,0.025582459692458075,0.02401776311532633,0.00073061289731407,0.0007128955796360502,851.0,0.00107819052474665,0.0022276017541944396,0.01390344940207092,0.013473416583083653,1.0,1.0,0.01507066917283123,0.01517967936059762,0.4,0.5,1.0,1.0,1.0,1.0
44,44.0,44.0,0.01449364817168334,0.017625760951408602,0.005904482306623099,918.9793356834911,124.80479855211452,0.11349898627365666,0.014174821373104732,0.0028584232165992,0.11952974311537948,0.01589981099122635,0.0031349826667023397,0.025519040758606698,0.02413919644696936,0.00081945722922677,0.0007658504880964101,0.025594098998903546,0.024080500110479873,0.0007771764416247301,0.00076013542711731,900.0,0.00103262717081643,0.0021194799049349703,0.013937466948078781,0.01357482227023779,0.9,1.0,0.015198160854654991,0.015178533318934973,0.4,0.6,1.0,1.0,1.0,1.0
45,45.0,45.0,0.01449184368872693,0.01762530586191858,0.005904319291675599,921.7011822083266,136.35571890273133,0.11348821208110656,0.014171701700812219,0.00285726936251928,0.11951971198474272,0.01589695460269725,0.00313370036425727,0.025513846216448293,0.02413491744345362,0.0016560739837586402,0.00078754357527936,0.02551584258445236,0.024133743504229522,0.0007719273446127401,0.00075142611749465,901.0,0.00104456140666732,0.0021302095331497697,0.01393841212523685,0.013575855537948761,0.9,1.0,0.015196432129354748,0.01517702702132917,0.4,0.6,1.0,1.0,1.0,1.0
46,46.0,46.0,0.014571798817163051,0.01762683982483456,0.005896549595642899,924.8661874682409,133.20845665005035,0.11356710010801267,0.01420828999214673,0.00285307015667473,0.11949919888843405,0.01591359240126129,0.0031672402142919795,0.02567699210802049,0.0241477212307134,0.00122115502599621,0.00079617942683393,0.02552004687767525,0.024177888426262773,0.00081734391860659,0.00077410140074785,950.0,0.00100326236375559,0.0020329506713799,0.013869142979496022,0.013707104324419342,0.9,1.0,0.01525989701596209,0.01538062292433465,0.4,0.5,1.0,1.0,1.0,1.0
47,47.0,47.0,0.014568189027574691,0.017622119801244587,0.0058963953184845005,934.9464380591875,138.43179570348002,0.11355179417296217,0.01420395878759242,0.00285206219981415,0.11948350503235858,0.01590942770604879,0.0031670975986565998,0.025674272085161032,0.024144383063597223,0.0008458561263977902,0.0007962477626278399,0.025670815643229,0.02414413578695547,0.0008551999926566598,0.004057094105519301,951.0,0.0010145894473833597,0.0020431958460999195,0.01386857615302472,0.013706120304578929,0.9,1.0,0.015263570087062289,0.01538383094139586,0.4,0.5,1.0,1.0,1.0,1.0
48,48.0,48.0,0.0146065967318018,0.01763445126281724,0.005889031650989901,957.1557991632028,168.3867166548269,0.11375909775820006,0.014300253642322607,0.0028673858656345303,0.11958984304231202,0.015967137717038622,0.0031641702808536897,0.025622612998780398,0.024105441618707733,0.00088940181303766,0.00215880079194898,0.025658629238184412,0.024080100366988863,0.0008482193108647502,0.0008295459439977299,1000.0,0.00097695269980494,0.0019551571119234296,0.013866107576198378,0.01359552122388935,0.9,1.0,0.015209380402581598,0.01561017246203,0.4,0.5,1.0,1.0,1.0,1.0
