,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
35,0.0014010721877712475,0.0014010721914599984,0.002803618862674503,1.0218408417276805,0.3648714055889286,1.3725424801480992e-09,2.69531812673658e-35,1.8991929302975023e-19,1.4239780056614272e-09,9.037496164625004e-36,5.4774130745576514e-21,0.0014010127225931467,0.001401012724579214,0.00013692000356968492,0.00011443099356256425,0.0023934755645172107,0.002393475564536844,0.0001168509988929145,0.00010391999967396259,10,0.04015909687915639,0.037158598653224545,0.04427114313094768,0.0388114818176647,0.0,0.0,0.044271143116280005,0.038811481801381775,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0029783306417030153,0.002978332325831176,0.002787099123338311,1.4467395317333285,12.004836245534534,1.0641598704236784e-09,1.8235862984593545e-35,1.3019171271415504e-19,1.0751761847529436e-09,7.134865393125004e-36,1.7424832658909307e-21,0.0029782965998241175,0.00297829706893562,0.001416766994225327,0.00013931099965702742,0.006576783722603447,0.006576783737656919,0.00013930099521530792,0.00011991099745500833,14,0.034400526181675294,0.032744657522451086,0.03944665432675264,0.03296220486294109,0.0,0.0,0.03944667547066835,0.032962219297475864,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0029647417857501177,0.002964741706418206,0.0027835274264834562,1.5091330921204644,0.9598133270847029,9.539202495589188e-10,2.9696671340096543e-35,1.2136900093535357e-19,1.0214173755152967e-09,6.778122123468754e-36,1.700893476393012e-21,0.0029647331169563025,0.002964733101276412,0.00014753099821973592,0.00015641999925719574,0.0029647645826760276,0.0029647652379553246,0.00011250100214965641,9.945099736796692e-05,15,0.03382650137118263,0.03230513850241172,0.03945730540808142,0.0329759059604809,0.0,0.0,0.039457306029169935,0.03297590699233933,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0035563993924225806,0.003556399366484579,0.0027708688711488945,1.0182387167660636,0.9623813047655858,1.2954998261159532e-09,1.2662141652794282e-35,1.092556102003808e-19,9.60938564259867e-10,5.648435102890628e-36,5.398493113610745e-21,0.0035563492056293246,0.003556349215113144,0.00014420099614653736,0.00011517999519128352,0.0047321647657917005,0.004732164728600543,0.00014795100287301466,0.0001263310041395016,19,0.030285745786497377,0.029095164016773877,0.03895347494080441,0.03235346201010873,0.0,0.0,0.03895347467356716,0.03235345735991593,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0035472026314870937,0.003547188416681245,0.0027680425037717653,1.9234630822611507,1.3853148321286426,1.1164904664634596e-09,1.9716083002866217e-35,1.0416322739375735e-19,9.225010216894724e-10,5.422497698775003e-36,5.220227829214421e-21,0.0035471828601782787,0.0035471813545300676,0.00015295099728973582,0.00012907099880976602,0.0035478016953816496,0.0035478015435877488,0.0001482009975006804,0.00010874099825741723,20,0.02928402395259333,0.028633632368170576,0.038961237010166676,0.03239789408857224,0.0,0.0,0.038961186831791256,0.03239781964193,0.0,0.0,0.0,0.0,0.0,0.0
40,0.012887473805497603,0.013442923366057697,0.0025676686007199624,2.3874740128958365,6.159291907977604,0.10214961951902479,0.011292036726849104,0.002392823812067105,0.10988385718477718,0.01353842489152651,0.0025698347640931377,0.016874515674342724,0.017726384473136812,0.0005107030010549352,0.0004793319967575371,0.03241055203988588,0.032410583753959415,0.0004844819995923899,0.00047092200111364946,500,0.0017130679030244,0.0015969355376852287,0.017313940236489522,0.01301907007159183,0.0,1.0,0.016214053705571496,0.01246118991901401,0.0,1.0,1.0,1.0,1.0,1.0
41,0.012884033344784681,0.013432440446813278,0.002567541617240941,1.7162453012861079,4.534379213073407,0.10211497225425044,0.011283792567285523,0.0023956553104171325,0.10982925483663211,0.013527786385410353,0.002571348354997558,0.01689099149910338,0.017734429701676838,0.000483592004457023,0.0004463520017452538,0.016891489290279907,0.01773467148482421,0.00046009200013941154,0.000457212001492735,501,0.0017198264457775102,0.0016039315694575669,0.017313267394807357,0.013019996826466698,0.0,1.0,0.01621338333038671,0.012459905197744904,0.0,1.0,1.0,1.0,1.0,1.0
42,0.013012775575089688,0.013339881628882699,0.0025238707075671066,7.4484688923403155,10.766722796019167,0.10416894269213932,0.011784785751404514,0.0024761691206924906,0.1124056550702496,0.014225601922426905,0.0026759846391758166,0.017450769639642375,0.018236865543703094,0.0008877139989635907,0.0008046139992075041,0.017446421835103563,0.017936280734618316,0.000848344003316015,0.0008530940031050704,1000,0.0008706837297617956,0.000818172982789929,0.01664747366452189,0.012460339317871159,0.0,1.0,0.015920912859120475,0.011396564437434658,0.0,1.0,1.0,1.0,1.0,1.0
43,0.013011026281338694,0.013334457084632365,0.002523807956708329,5.51932352159929,8.441006312255922,0.10416008324143157,0.01178218529379697,0.0024751448677803453,0.11242456644874316,0.01422814623258201,0.0026771345304083833,0.017444517285383043,0.01822673759345154,0.0008978939949884079,0.0008879949964466505,0.017444608909727252,0.01822657364264619,0.0008863149996614084,0.0008482450066367164,1001,0.0008748484536594663,0.000822392548328061,0.016648603615714536,0.01246062815652237,0.0,1.0,0.015921142868687156,0.011396176080678238,0.0,1.0,1.0,1.0,1.0,1.0
44,0.012854597867906362,0.01341738066137102,0.0025099427538142587,2.2065149220870808,4.709359764783585,0.10459814607948073,0.012025211899260457,0.002410107678224579,0.11273205564075378,0.014397647055834621,0.0027069074454416655,0.0173551446870478,0.01752118411456556,0.0011774160011555068,0.0010437050004838966,0.017166911933859386,0.017997609799596095,0.0082342819951009,0.0010174449998885393,1249,0.0007060310909930023,0.0006648406226136991,0.0164165776037976,0.011754410621966367,0.0,1.0,0.015836060128166695,0.0110387467229506,0.0,1.0,1.0,1.0,1.0,1.0
