,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3
311,0.013145664477338918,0.01248536899941739,0.0022674560327523414,0.06188076885882765,0.15706723008770496,0.08186488955370771,0.007586224390806013,-1.0408340855860842e-19,0.08462165864106498,0.00814042080472671,2.1226262232992298e-19,0.01916404604570257,0.020165450379247437,0.0009879509452730417,0.0007066179532557726,0.01933007914692308,0.019640097115964837,0.00044967501889914274,0.0004154449561610818,300,0.015717230373307144,0.016548026659968195,0.016054276363663716,0.016105465419251577,0.0,0.0,0.0,0.0,0.014846612788814061,0.01549077876980671,0.014933434889485354,0.01512162284906347,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
312,0.013144126474564366,0.012475109320529653,0.00226734821517452,0.07510107511188835,0.07659727416466922,0.0818258788627142,0.007577891011997012,7.907571400464078e-20,0.08456376880354084,0.00812899940964674,-4.1600584254734744e-19,0.019144758693843758,0.02013371420186994,0.0005847059655934572,0.00042285502422600985,0.01914536343299921,0.0201333198297876,0.00037943501956760883,0.000409865053370595,301,0.0157175990995603,0.016548408904094435,0.016054762443739344,0.016105903402166288,0.0,0.0,0.0,0.0,0.014846726080732094,0.015490748211397037,0.014933683911799445,0.015121751638717712,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
313,0.01368195243132301,0.014047249300236753,0.002257978488363652,0.19151313521433622,0.18483692151494324,0.08323952916180881,0.008043385250652796,-4.192248400277284e-19,0.08684076854312112,0.008786208781046414,3.597312553135377e-19,0.02013654748134469,0.019659828201692108,0.0005117760738357902,0.0005745959933847189,0.019973794264032504,0.021082858075445063,0.0004928359994664788,0.0006859080167487264,400,0.01477811314698611,0.015324719302387357,0.015176666880330472,0.015260223968073527,0.0,0.0,0.0,0.0,0.015190711098552152,0.01591030167625591,0.0153263102512819,0.015666647155368446,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
314,0.013681111258519769,0.014042884599939583,0.0022578949538594718,0.11619632900692523,0.08370941667817533,0.0831463054837127,0.008029358639601206,0.0,0.08675127287721891,0.008771604093298302,3.4354777320262664e-19,0.02012163936793922,0.019643666603191067,0.000660737045109272,0.0005453960038721561,0.020121394854975806,0.019643022231913124,0.000685577979311347,0.010258025024086237,401,0.014778136042703357,0.015324535651148755,0.015177258540029293,0.015259942688463927,0.0,0.0,0.0,0.0,0.015190925883956718,0.0159105228476936,0.015326512077997066,0.015666867159946585,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
315,0.0137047063930799,0.015426065296541247,0.002250439267670165,0.11868931667413563,0.10477901576086879,0.08313517662015388,0.007935446480223672,3.2802043909379624e-19,0.08731132109350127,0.008730934683079727,-4.36834911677796e-19,0.0199582830443034,0.019809276399994,0.0006989180110394955,0.0005702769849449396,0.020077225982774928,0.01967501867107381,0.0005304260412231088,0.0006720079109072685,500,0.014733557494500976,0.015323357503013,0.015087358770053171,0.01513140004475133,1.0,1.0,1.0,1.0,0.015225955779906118,0.015895357055989594,0.01534442873360483,0.015671166920296766,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
316,0.013704061527384006,0.015419152921029891,0.0022503711354927435,0.10328191542066634,0.13412189786322415,0.08311062471062401,0.007929833116487555,1.007461909823191e-19,0.08727033497171338,0.008722715064278578,-1.8260247115545337e-19,0.019946376804731672,0.019794229636240588,0.0005593459354713559,0.000638836994767189,0.019946288840713124,0.019794413294590738,0.0006370471091940999,0.0005769759882241488,501,0.014732601611955005,0.015323159346202625,0.01508689359587632,0.015130580341267002,1.0,1.0,1.0,1.0,0.015226119695187779,0.015895516332982713,0.01534460447009038,0.0156713684887287,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
317,0.013545959812988475,0.014913489094269256,0.002244182231042401,0.1342910616658628,0.41082298452965915,0.08177172700804233,0.007685814509209155,-1.8014436096682229e-19,0.08699739309446605,0.008629680454281124,2.992397996059992e-19,0.019267743807664228,0.019294391502226112,0.0006131870904937387,0.0010987418936565518,0.019661644641034617,0.019213061072597896,0.0005929260514676571,0.0010164009872823954,600,0.015125962765208856,0.015529564689464967,0.01516994134021786,0.015292738485817912,0.0,0.0,0.0,0.0,0.0149925764147308,0.015510455405089994,0.015069451950107554,0.015233746760719409,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
318,0.013544986552753161,0.01491079741382748,0.0022441247328634675,0.2837933744303882,0.2852831492200494,0.08178558167232879,0.007686427413727345,8.567029147873172e-19,0.08701384335763031,0.00863092440952381,2.4848381587532605e-19,0.019257895006660055,0.019284127818074034,0.0005938869435340166,0.0006799380062147975,0.019257981349530943,0.019284971535184058,0.0008085889276117086,0.0008322200737893581,601,0.015125108925661624,0.015529145197831993,0.015168723975290014,0.015291907983927797,0.0,0.0,0.0,0.0,0.014992647073303023,0.015510453713708098,0.015069631084875544,0.015233813695294236,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
319,0.013173758966694536,0.01462005775042244,0.0022388362025773175,0.09300890506710857,0.13750950153917074,0.08132027550508175,0.007586574288951074,3.5099238330597398e-19,0.08650181684138553,0.008494429881708107,2.0296264668928644e-19,0.018921238356848825,0.01898876187916204,0.0007166980067268014,0.0007726979674771428,0.01895616552736401,0.018952166482838692,0.0006610970012843609,0.0009140298934653401,700,0.015059050838773649,0.015483918674433736,0.015096932177272412,0.01520029603892498,0.0,0.0,0.0,0.0,0.014944855421115316,0.015489440666431044,0.01502486444918523,0.015195386378949637,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
320,0.013172977934099842,0.014618244448418576,0.002238786484352254,0.13484644098207355,0.16704260488040745,0.08134104274994962,0.007589161225085289,2.540873267076548e-19,0.08653271372382769,0.008498818555267474,1.446565348642444e-19,0.018912710011675066,0.01898086535340447,0.0006901170127093792,0.0006741270190104842,0.018912804159859326,0.018981162268994666,0.0006898279534652829,0.0006635780446231365,701,0.015058467803189425,0.015483641542915766,0.015096175061180281,0.015199754727408856,0.0,0.0,0.0,0.0,0.014944909797031718,0.01548943965149725,0.015024995217183475,0.015195437149391214,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
321,0.01294208669964675,0.014550514259147666,0.0022341707408733637,0.07107849197927862,0.2042242210591212,0.08129745342344376,0.007562740848761731,-4.0817022964160166e-20,0.086338960409392,0.008417344252932894,-1.1566523882468887e-18,0.018728046131191833,0.018868165988139382,0.0008359199855476618,0.0008200389565899968,0.018802438642256263,0.01885868773728707,0.0007262779399752617,0.000725038000382483,800,0.015158727693665403,0.015542224860147802,0.015230545128754163,0.0153102925470453,0.0,0.0,0.0,0.0,0.01488731000065128,0.01542837006900468,0.01500467954902011,0.01512891651526517,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
322,0.012941146269402572,0.014575521552367448,0.002234126959781699,0.05567996087484062,0.3278761120745912,0.08127392204604382,0.0075582598883914215,2.8538341555435136e-20,0.08631337590270446,0.008412303718765833,-1.0500580852673946e-18,0.01872024169277743,0.018832756595428123,0.0007891989080235362,0.0007155380444601178,0.018720307046,0.018861396393590232,0.0007301279110834002,0.0007348579820245504,801,0.015339502833680883,0.015622195941184643,0.015229105062839117,0.015194794502106443,0.0,0.0,0.0,0.0,0.014887399380661108,0.015428394872279455,0.015004951836122046,0.015129124702535416,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
323,0.012815806774911842,0.014651569055179848,0.002230032959626217,0.04850530554540455,0.1677673263475299,0.08093176471599248,0.007458151535629909,4.560496717107448e-19,0.08505797178132303,0.00813949988701318,-2.832620833798971e-19,0.018690146901104324,0.018858521132657166,0.0009790610056370497,0.0008096690289676189,0.018617732426081005,0.018793840828501284,0.0008327699033543468,0.000773118925280869,900,0.014941164224023244,0.015405788744833096,0.015072227855697682,0.015136816042259681,0.0,0.0,0.0,0.0,0.014883366058870974,0.015464063260192173,0.01501093653204291,0.015163070645060629,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
324,0.012815192075882553,0.014649746277328308,0.0022299938571606016,0.13708375464193523,0.3748269483912736,0.08097215202050388,0.007467545812589576,3.803258094018552e-19,0.08511290357908612,0.008150933122323395,-3.0553752074249755e-19,0.0186832865000036,0.018850258289490572,0.0009369810577481985,0.0009220800129696727,0.01868335550739296,0.01885227742028303,0.0011774529702961445,0.0008853599429130554,901,0.014940511053898677,0.015405565737131581,0.015071038701381871,0.01513624064479886,0.0,0.0,0.0,0.0,0.014883432740509695,0.01546406916762211,0.01501113441392203,0.015163187237546054,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
325,0.013190425610652388,0.01525964596268723,0.0022263162368203557,0.0747387126320973,0.25869137060362846,0.08111748182779237,0.007473041961228125,-2.544261098099317e-19,0.08524484772509089,0.008169388746142715,1.1457435529427768e-18,0.019215953862425455,0.019583192847165115,0.0010082409717142582,0.000862839980982244,0.019186801203827337,0.01926209538141637,0.004417969030328095,0.0009323200210928917,1000,0.01511192291431948,0.015454581826450061,0.015378292252063129,0.015110650171744434,1.0,0.0,0.0,1.0,0.015060389028244072,0.015500416977979143,0.015024096146316704,0.015084300368920573,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
326,0.013189820557965056,0.015258733793072507,0.002226280915564696,0.2795208047609776,0.2989968949696049,0.0811279503272029,0.007473921220288396,-8.252728239661308e-20,0.08524926880014452,0.008169766649593058,-3.278396293205455e-19,0.01920956886344942,0.019576035839001193,0.0008623290341347456,0.0009618611074984074,0.019209615696187513,0.019578172804869624,0.0011989730410277843,0.001081062015146017,1001,0.015109975255051747,0.015453110553619268,0.015376033600402886,0.015108545671933106,1.0,0.0,0.0,1.0,0.01506047020716588,0.015500460995988398,0.015024275484979168,0.015084421359844872,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
327,0.013108942186899257,0.0151256152045879,0.002222943262063918,0.05419479520060122,0.09637827915139496,0.0808924768795838,0.007394803718100217,1.0219783956298146e-19,0.08476815947857154,0.00803806413495965,-3.2544920864521404e-19,0.019090235078687696,0.019414314163110923,0.0013084240490570664,0.0011473430786281824,0.01914472389900991,0.019489379208234264,0.0009541900362819433,0.0008670489769428968,1100,0.014963339840380025,0.015372019288093362,0.015234196581565645,0.015122798125562657,1.0,0.0,0.0,1.0,0.01506486563354638,0.015481802910197864,0.014996923930578353,0.015041476492900342,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
