,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_eval3,DRO_eval4,DRO_satisfy1,DRO_satisfy2,DRO_satisfy3,DRO_satisfy4,SA_eval1,SA_eval2,SA_eval3,SA_eval4,SA_satisfy1,SA_satisfy2,SA_satisfy3,SA_satisfy4,SA_satisfy_p1,SA_satisfy_p2,SA_satisfy_p3,SA_satisfy_p4,DRO_satisfy_p1,DRO_satisfy_p2,DRO_satisfy_p3,DRO_satisfy_p4,SA_obj_values,SA_obj_values_act,DRO_obj_values_act,SA_time,SA_tau,t
295,-5.3938788213479e-19,44.917727092322956,0.003291590104701558,21.563945655943826,43.43584537847563,43.25325807519903,43.2124990108395,43.36735908506628,1.0,1.0,1.0,1.0,42.59988275405035,42.53226642486699,42.50473701797217,42.580170609090885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,4.081493656034581,0.0,400
296,1.3554584121607678e-18,44.91715803531443,0.0032907784682187574,21.83874581498094,43.43584537847558,43.25325807519897,43.21249901083944,43.36735908506623,1.0,1.0,1.0,1.0,42.59988275405035,42.53226642486699,42.50473701797216,42.580170609090885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,4.092039023060352,-1.9175128540880643e-16,401
297,-1.478282373883318e-18,44.906629732549256,0.003275762126302077,34.1967858140124,43.43584537847566,43.25325807519906,43.21249901083952,43.36735908506631,1.0,1.0,1.0,1.0,42.59988275405035,42.53226642486699,42.50473701797216,42.580170609090885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,4.407534349011257,3.0292258760486853e-28,420
298,1.702215314092625e-17,44.90609002787826,0.0032749923545669552,33.08144327509217,43.435845378475584,43.25325807519898,43.212499010839444,43.367359085066234,1.0,1.0,1.0,1.0,42.59988275405035,42.53226642486699,42.50473701797216,42.580170609090885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,4.190484407008626,0.0,421
299,8.09127059641934e-19,44.8960925218706,0.003260733079174713,22.3336539210286,43.43584537847557,43.25325807519897,43.21249901083944,43.36735908506623,1.0,1.0,1.0,1.0,42.599882754050356,42.532266424867004,42.504737017972175,42.5801706090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,4.611319632036611,3.2311742677852644e-27,440
300,3.9290716366664997e-19,44.89557940865578,0.003260001234390863,23.124318910064176,43.43584537847558,43.25325807519897,43.21249901083944,43.36735908506623,1.0,1.0,1.0,1.0,42.599882754050356,42.532266424867,42.504737017972175,42.5801706090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,4.598483958980069,-1.0717805046243722e-23,441
301,1.3205092105621383e-18,44.88606384337219,0.003246429342978417,23.312737351981923,43.43584537847558,43.25325807519897,43.21249901083944,43.36735908506623,1.0,1.0,1.0,1.0,42.599882754050356,42.532266424867004,42.504737017972175,42.5801706090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,4.651611413923092,-1.355542228821274e-22,460
302,8.075891197713979e-19,44.88557492764461,0.003245732010666344,14.755341461044736,43.43584537847558,43.25325807519897,43.21249901083944,43.36735908506623,1.0,1.0,1.0,1.0,42.59988275405035,42.53226642486699,42.50473701797216,42.580170609090885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136713,42.38322057136715,42.6099175479351,4.616989355999976,2.684201087734575e-22,461
303,8.681889964572288e-16,44.87649880726414,0.0032327868921611007,38.44599258899689,43.43584537847559,43.253258075198985,43.21249901083945,43.36735908506624,1.0,1.0,1.0,1.0,42.59988275405035,42.53226642486699,42.50473701797217,42.580170609090885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,5.7294559420552105,-3.1945225023441917e-16,480
304,1.378973825731852e-18,44.87603200012718,0.0032321210929594653,19.463135245023295,43.435845378475705,43.253258075199106,43.21249901083957,43.36735908506636,1.0,1.0,1.0,1.0,42.59988275405035,42.532266424867,42.50473701797217,42.58017060909089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,5.717722820001654,-4.468843259317732e-22,481
305,-4.1247795999454456e-18,44.867358137982066,0.003219749708644438,18.44846782600507,43.43584537847558,43.25325807519898,43.212499010839444,43.36735908506623,1.0,1.0,1.0,1.0,42.59988275405041,42.53226642486705,42.504737017972225,42.58017060909095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38322057136714,42.38322057136715,42.6099175479351,5.303761690971442,-1.3855275260263214e-23,500
306,0.0,44.903288956527895,0.004256699612603923,0.3929053029278293,90.35337659499152,86.33695631078592,87.1577804710488,88.05469147666321,0.0,0.0,0.0,0.0,86.01900777317954,81.56969770356301,82.39289787022025,83.64857287741765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.26847988314342,41.26847988314343,41.31798976455332,0.10854239598847926,0.0,0
307,0.0,44.8385135157943,0.0041797940103896845,0.37022852909285575,90.35337659499157,86.33695631078598,87.15778047104882,88.05469147666324,0.0,0.0,0.0,0.0,86.01900777317955,81.56969770356301,82.39289787022028,83.64857287741766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.26847988314342,41.26847988314343,41.31798976455332,0.17942905996460468,0.0,1
308,5.756760252429312e-19,44.97117346909671,0.003623898318388478,1.437858812045306,45.00380750370784,44.008108746304636,44.50430004634593,44.899404200834155,0.0,1.0,1.0,1.0,70.61546562826162,69.10079134024866,70.15488274695507,70.19744556166961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.86596059660394,41.865960596603955,42.48343600491597,0.6895556270610541,-1.4830585018155022e-28,20
309,1.2858705325176654e-15,44.961435494347114,0.0036097129669083418,1.9177091589663178,45.00380750370787,44.008108746304664,44.50430004634596,44.89940420083418,0.0,1.0,1.0,1.0,43.71677434483063,43.5171096329912,43.860346527345534,43.94340919105504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2247438860592,42.224743886059215,42.48343600491597,0.4767364819999784,0.0,21
310,6.938893878057834e-19,44.842299603945484,0.003417029694965842,1.5860445930156857,44.88193065071722,43.8859288388946,44.40420319177514,44.733957225335544,0.0,1.0,1.0,1.0,43.71677434483064,43.5171096329912,43.86034652734554,43.94340919105504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.22474388605919,42.224743886059215,42.49252192342874,0.8569852029904723,0.0,40
311,-3.7933372950040405e-19,44.83714072090764,0.0034095276845930683,2.473722998984158,44.88193065071722,43.8859288388946,44.40420319177514,44.73395722533554,0.0,1.0,1.0,1.0,43.71677434483063,43.51710963299119,43.86034652734553,43.94340919105503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.224743886059194,42.224743886059215,42.49252192342874,0.5087777010630816,5.932234007262009e-28,41
312,-1.4792727948335184e-18,44.75766786310166,0.003293659265476025,3.6644713720306754,44.81620224447244,43.80808775244346,44.32337355135343,44.63683912919699,0.0,1.0,1.0,1.0,43.71677434483062,43.517109632991186,43.86034652734552,43.943409191055025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2247438860592,42.224743886059215,42.492727923994806,0.6172396769979969,0.0,60
313,-7.464382902651889e-19,44.75421251075803,0.0032886345171079506,2.6051098309690133,44.81620224447245,43.80808775244346,44.323373551353434,44.63683912919699,0.0,1.0,1.0,1.0,43.716774344830625,43.51710963299119,43.86034652734553,43.94340919105503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2247438860592,42.224743886059215,42.492727923994806,1.2697214180370793,-5.9164567891575885e-31,61
314,1.252691793273398e-18,44.705029372797625,0.0032064768721705894,3.470289385993965,44.6847592739451,43.64675937775865,44.182866949058166,44.472924777975884,1.0,1.0,1.0,1.0,43.716774344830625,43.517109632991186,43.86034652734553,43.943409191055025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.22474388605919,42.224743886059215,42.4977572959598,0.7514273100532591,0.0,80
315,2.389075452884843e-19,44.70244924775611,0.0032027287564037527,3.4639438850572333,44.6847592739451,43.64675937775865,44.182866949058166,44.472924777975884,1.0,1.0,1.0,1.0,43.71677434483062,43.517109632991186,43.86034652734552,43.943409191055025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.224743886059194,42.224743886059215,42.4977572959598,0.783394139027223,0.0,81
316,1.2601905157698774e-19,44.65903006949371,0.0031394319547319387,7.56368977506645,44.54334390982897,43.59978232978916,44.044982791229,44.40033572285897,1.0,1.0,1.0,1.0,43.716774344830625,43.517109632991186,43.86034652734553,43.943409191055025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2247438860592,42.224743886059215,42.49611770372172,0.7391411820426583,-3.4214475181245724e-26,100
