,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,obj_val_act,MRO_obj_val_act,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3,satisfy_p0,satisfy_p1,satisfy_p2,satisfy_p3,MRO_satisfy_p0,MRO_satisfy_p1,MRO_satisfy_p2,MRO_satisfy_p3
246,47.94206388363819,47.978602181667796,0.008189405315755193,0.7748507792130113,0.9092496837256476,1.8876931443592306,3.8541436590026676,0.9884695297456382,1.90818059800869,3.95688861068627,42.4978698006489,42.5075961676377,1.0037297361508786,61.4881258365384,56.999423879624985,0.06962488405406475,0.06798516097478569,61.4740691041227,56.999423879625006,0.06864249904174358,0.0695449240738526,420,[0.02832381],[0.06641478],56.21665432137788,53.81216796483446,56.05585817861799,55.80290650448407,0.0,0.0,0.0,0.0,60.77134117571645,58.23027475017821,60.82328501813036,60.195230465963974,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,47.94061154036706,47.97731654930809,0.008187480886417388,0.6536532301688567,1.1925784095656127,1.8907800854003551,3.8693388880348385,0.9875172816631806,1.9115449042299806,3.9738075354079054,42.498059159572506,42.5075961676377,1.0034054893417579,61.52681861239579,56.97696260947599,0.07997088204137981,0.07743045303504914,61.45504823722286,56.976962609476,0.08038590103387833,0.08188704401254654,421,[0.02829469],[0.06629574],56.21665432137726,53.812167964833826,56.05585817861736,55.802906504483445,0.0,0.0,0.0,0.0,60.85184229286973,58.306632175084225,60.89592621422291,60.26629574247619,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,47.9170823032569,47.95350145577601,0.00815183269793678,0.9042946093250066,0.7434684756444767,1.8848811934362035,3.8415119884299647,0.9818595736145583,1.9054768268735132,3.9439158692617524,42.497874071328404,42.5075961676377,0.995264593611315,61.0990863755231,56.72914853483821,0.07303803996182978,0.07120526803191751,61.167467191035776,56.72914853483821,0.07103719795122743,0.07097039895597845,440,[0.02714868],[0.06351215],56.21665432137726,53.812167964833826,56.05585817861737,55.802906504483445,0.0,0.0,0.0,0.0,60.77315243951054,58.23199404101894,60.82492332099756,60.19682848251776,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,47.91586600643628,47.95227916702018,0.008150003085977157,0.9989592912606895,0.7047291275812313,1.8832904095048226,3.836019454100202,0.9805289340182138,1.903839864391824,3.938193729818017,42.49787407132841,42.5075961676377,0.9937095505090848,61.06831401575963,56.70824990734092,0.07245303294621408,0.07038663106504828,61.068314015759654,56.70824990734085,0.07123160792980343,0.070750048966147,441,[0.02713177],[0.06341296],56.21665432137755,53.8121679648341,56.05585817861764,55.80290650448372,0.0,0.0,0.0,0.0,60.773152439510525,58.23199404101893,60.824923320997556,60.196828482517745,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,47.892998292303176,47.92961210614203,0.008116073357446041,0.45686695689801127,1.0292740495642647,1.8872631807241866,3.854949037888175,0.9790862555067417,1.9076552682606496,3.9565003403041197,42.49822165162372,42.5075961676377,0.9917189819724407,60.97914267231343,56.50649268019201,0.07637646701186895,0.07438052503857762,60.8512035124571,56.50649268019212,0.07464144297409803,0.07397061598021537,460,[0.02605572],[0.06084376],56.21665432137728,53.81216796483385,56.05585817861738,55.80290650448346,0.0,0.0,0.0,0.0,60.921016485842756,58.37293045926481,60.95829272574936,60.327562221446755,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,47.8913022063001,47.92844745830557,0.00811433002666586,0.49560946924611926,0.8941199112450704,1.8882885354619579,3.858622916248266,0.9812170846214785,1.9087286133998977,3.960460457258758,42.49882092230668,42.5075961676377,0.9942929826477512,61.17105760896381,56.4869227092343,0.07766666100360453,0.07509473199024796,60.949902020577994,56.48692270923429,0.07602888799738139,0.07514382200315595,461,[0.02603183],[0.06074479],56.216654321377284,53.812167964833854,56.055858178617385,55.80290650448347,0.0,0.0,0.0,0.0,61.17772195962726,58.61836998859453,61.19071945941501,60.55917210735306,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,47.86871154400195,47.90682720064831,0.008081967230402751,0.6212349445559084,0.5927392375888303,1.8936089630524406,3.879462906997472,0.9855290371840829,1.913212187065804,3.977001416366072,42.500039758056886,42.5075961676377,0.9985370433552024,61.47350664346411,56.411675436255955,0.08161852497141808,0.0776254819938913,61.027295273274284,56.41167543625674,0.07820262899622321,0.07757120206952095,480,[0.02505258],[0.05839472],56.21665432137726,53.812167964833826,56.05585817861736,55.802906504483445,0.0,0.0,0.0,0.0,61.708766216751414,59.12502245948344,61.67037120752339,61.04044511932286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,47.867532495067834,47.90571521775829,0.008080302732398664,0.7980835671769455,1.0175331765785813,1.8957419547896162,3.8890250126816643,0.9848797350514659,1.915385063561231,3.9870037162898737,42.50012231292631,42.5075961676377,0.9976996443707749,61.474654985042875,56.39306376564005,0.08002837107051164,0.07779583102092147,61.444407548760346,56.39306376564005,0.07712933304719627,0.07865092705469579,481,[0.02503295],[0.05830616],56.21665432137726,53.81216796483382,56.05585817861736,55.802906504483445,0.0,0.0,0.0,0.0,61.74521926185447,59.159802791846474,61.70344737201836,61.0734739261305,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,47.84712202253306,47.88505318083993,0.008049374271611094,0.7080041347071528,0.7847005486255512,1.90284668731939,3.9215648327341057,0.986905489715435,1.9221099746491777,4.0173751894384475,42.49997025530175,42.5075961676377,0.9992873500770236,61.802105814730304,56.81170554634317,0.08263586100656539,0.0859253469388932,61.85829881078408,56.81170554634317,0.08124488708563149,0.08214862295426428,500,[0.02413213],[0.05614376],56.216654321377256,53.81216796483382,56.055858178617356,55.80290650448344,0.0,0.0,0.0,0.0,61.67808619321209,59.095788725350715,61.642680019125876,61.01263824266155,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,48.13838306381164,48.1383830638116,0.008513399225207847,0.8264536228962243,0.6511116250185296,0.0,0.0,0.0,0.0,0.0,42.51713250321508,42.51713250321508,0.0,48.13838306381169,48.1383830638116,0.0011397759662941098,0.0011714549036696553,,,0.000906545901671052,0.0009818560210987926,0,1.4621526987228086,0.034053664335789005,70.4546235174644,67.64835722054407,69.6473433177058,69.18828591351787,0.0,0.0,0.0,0.0,70.45462351746446,67.64835722054413,69.64734331770586,69.18828591351792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
