,Unnamed: 0,tau,obj_values,MRO_tau,MRO_obj_values,cluster_SAA_tau,cluster_SAA_obj_values,epsilon,online_time,MRO_time,cluster_SAA_time,MRO_square_val,MRO_sig_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,cluster_SAA_eval0,cluster_SAA_eval1,cluster_SAA_satisfy0,cluster_SAA_satisfy1
365,365.0,0.001672084527567925,0.01138865011375965,0.004457346138058025,0.012900851732123126,0.002981306608278075,0.0064647622056657,0.0024854601559694,1.277664496388752,1.5391801773221232,0.03172494430327788,0.0115447825410125,0.002282925418023125,0.012992379014810825,0.0025555297016169503,0.017042323551685574,0.0164874113581042,0.002219994959887025,0.0019161302479915,0.01704211398091185,0.016488387079266174,0.002067772613372575,0.00191425957018505,1851.0,0.000684569242982075,0.0006699069728205501,0.01087716078925735,0.010689348984362374,0.25,1.0,0.0118869660122197,0.012705622894671,0.0,0.0,1.0,1.0,1.0,1.0,0.015909949692884173,0.01589575318554095,0.0,0.0
366,366.0,0.0017480785496688002,0.0114094268983204,0.004628343256451076,0.0128505814403401,0.002960728766632325,0.00646450251681115,0.0024838415069977,0.9349509087041952,1.42671504575992,0.01623805100098245,0.011500355540181901,0.0022861151368982003,0.013037767117706624,0.002571475899644275,0.017030471108836626,0.016432808904373226,0.002094000577926575,0.0021126524661667,0.017116253628357822,0.016517477728519747,0.00213147897738955,0.001963139802683075,1900.0,0.00066955643701375,0.00065565626700875,0.01086120728821105,0.010904651841355374,0.25,1.0,0.0119742762413291,0.0125434999587742,0.0,0.0,1.0,1.0,1.0,1.0,0.017258005480172776,0.01629016322558165,0.0,0.0
367,367.0,0.00174807991352895,0.011406096319553024,0.004505340150682449,0.0128775985381869,0.002960728766632325,0.00646328711018925,0.0024838089194187,1.3564244013396092,1.7735850020544603,0.014612533326726376,0.011498236589944574,0.002286206477328725,0.013038119414909575,0.00257081194664375,0.017027169607615578,0.016524035245512873,0.002499228517990475,0.0019934453885070503,0.0170271582691141,0.01642929884045065,0.002127140469383375,0.0019829997327177997,1901.0,0.0006718112755714251,0.00065792492474275,0.010860880735667124,0.0106815904315624,0.25,1.0,0.01197426436639925,0.012543407381114199,0.0,0.0,1.0,1.0,1.0,1.0,0.0174184342144956,0.016311354364858324,0.0,0.0
368,368.0,0.0017490045071446498,0.011574515184528376,0.00429856659745435,0.013004444976643876,0.003735199653990075,0.0064202424088481,0.0024822332322743,1.658270568063017,2.1368476081406698,0.019342548563145073,0.01148500699826905,0.0022903606569646003,0.013058047608327825,0.002572967396421925,0.016989031281268323,0.016567853894074377,0.002111116249579875,0.00208486180054015,0.016977544076874098,0.0165725054337988,0.00220014748629175,0.00203767977654925,1950.0,0.00065762277513465,0.00064447953234125,0.011034334331792801,0.010661054283319475,0.25,1.0,0.011985555472988074,0.0125114190044882,0.0,0.0,1.0,1.0,1.0,1.0,0.017487736028145025,0.0164083493418564,0.0,0.0
369,369.0,0.0017490329101928,0.011572273764823324,0.0042994006081439,0.013041163446806201,0.0037378973735568,0.0064190093511645,0.0024822014984796,1.5749953257618472,1.6998151232255623,0.024104612413793726,0.011485657000416299,0.002289317444519025,0.013059933442097901,0.0025762170810245746,0.01698482871083135,0.01658974376471025,0.0021536845015361003,0.0020851524895988,0.0169848192526942,0.01657837477235475,0.002206082688644475,0.002018947212491125,1951.0,0.0006598271906010499,0.00064669470489635,0.011030303230340825,0.010661018627339924,0.25,1.0,0.011985668727954476,0.01251508165135065,0.0,0.0,1.0,1.0,1.0,1.0,0.017487166919966074,0.0164083493418564,0.0,0.0
370,370.0,0.0021086884022907,0.011617639598829424,0.00420214335323615,0.01317138702866235,0.0037006022633509247,0.006472389370238625,0.0024806975160735,1.1446320590330286,1.1687234975979663,0.014875694643706024,0.01152595749624505,0.002299346496057725,0.0131043184465303,0.002569742417241175,0.016929831537677225,0.016654930089051948,0.002190683910157475,0.0021329823648556998,0.016987417047178627,0.016616622103502576,0.0022095615277066,0.0020652212551794,1999.0,0.0006470185366327251,0.0006337948925238,0.01104100764317155,0.010731790968188075,0.25,1.0,0.012016885939754475,0.012141203897609774,0.0,0.0,1.0,1.0,1.0,1.0,0.0170421021998914,0.016347423622260198,0.0,0.0
371,371.0,0.00210785664515335,0.011631936563732126,0.0042020235193142245,0.0131690770716813,0.0037006022633509247,0.006476625576118925,0.0024806665771599,1.0948130688630044,1.3767113008070737,0.0163919540937058,0.011524306103495724,0.00229883616512405,0.01310459312875415,0.002569927918176375,0.0169417427604584,0.016665510820612926,0.002211371553130375,0.00216902251122515,0.016942910211293776,0.0166642618977751,0.002268615819048125,0.002084109524730525,2000.0,0.000649171110384325,0.0006359574239589751,0.011040386826023424,0.010733758502629176,0.25,1.0,0.012018180889789926,0.012141303656321125,0.0,0.0,1.0,1.0,1.0,1.0,0.0170421021998914,0.016347423622260198,0.0,0.0
372,372.0,-0.0085663913735648,-0.00386001236272055,-0.0085663913741137,-0.0038600123628334997,-0.010252963016630576,-0.0102529630166305,0.0024014069243239,0.14134899916825813,0.14902747666928914,0.013876770564820525,2.3668800450434203e-35,9.5944558493742e-21,2.3668800450434203e-35,9.594455857589756e-21,-0.0038599864404082747,-0.0038599864407275752,0.000119079661089875,7.334520341828465e-05,0.0,0.0,7.508823182433844e-05,6.13299198448658e-05,0.0,0.04330350558853363,0.00960562831726375,0.03500310895222172,0.03140304570678273,0.0,0.0,0.0350028844656358,0.03140304569874422,0.0,0.0,0.0,0.0,0.0,0.0,0.0467836918753424,0.03909572315933055,0.0,0.0
373,373.0,-0.007524082389590825,-0.002774301807614486,-0.0075240823914757,-0.002774301808132834,-0.008170777155807475,-0.008170777155807451,0.0023904861257203,0.0676102910074405,0.044631247583310996,0.015224643109831876,2.082495706753033e-35,1.3486015442768407e-20,1.972400037536184e-35,1.538597859060927e-20,-0.0027742955539264264,-0.0027742955551718564,9.523337939754128e-05,6.842531729489565e-05,0.00018367960379552688,0.0001836796117280505,6.713764742016792e-05,6.604741793125868e-05,1.0,0.057845961719664475,0.04190792833548707,0.02855115655840745,0.026836626884837428,0.0,0.0,0.028551156553669826,0.02683662687987405,0.0,0.0,0.0,0.0,0.0,0.0,0.03709592814426465,0.036269745837362526,0.0,0.0
374,374.0,-0.0039946579246166744,0.001188418168206425,-0.003994657800520425,0.001188418169787925,-0.00423995543914585,-0.0038932970818125003,0.0023663770566003,0.10712324222549792,0.27516625117277727,0.06012175622163335,1.928960791585811e-35,6.384903718565185e-20,1.3149333583574558e-35,1.3572483172765096e-20,0.0011884238863605501,0.001188423886319,9.560259059071541e-05,6.678304634988308e-05,0.00915384334233585,0.009153843333166075,6.5034837462008e-05,6.458745338022709e-05,4.0,0.052391337499129574,0.04594619546375357,0.01910664746943795,0.019093404499073874,0.0,0.0,0.019106647470754023,0.0190934044097367,0.0,0.0,0.0,0.0,0.0,0.0,0.02211863787673335,0.0243329826031945,0.0,0.0
