,obj_values,MRO_obj_values,SAA_obj_values,epsilon,online_time,MRO_time,SAA_time,MRO_mean_val,MRO_square_val,MRO_sig_val,SAA_mean_val,SAA_square_val,SAA_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,SAA_worst_values,worst_times,MRO_worst_times,SAA_worst_times,worst_values_regret,MRO_worst_values_regret,SAA_worst_values_regret,worst_times_regret,MRO_worst_times_regret,SAA_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,SAA_eval0,SAA_eval1,SAA_satisfy0,SAA_satisfy1,SAA_worst_satisfy0,SAA_worst_satisfy1
481,-0.019348132255945404,-0.01591684365303763,-0.024817645222002086,0.0036294964263520564,0.3030106911669922,0.26795744762854,0.011085158628540039,0.3401743871955573,0.12071034887220394,0.002323409315854506,0.3401743871955573,0.12071034887220394,0.00859645939819769,0.3489417566457661,0.1292888509390822,0.002945545160148805,-0.015392427454744801,-0.014348527179361163,0.01556509709286489,0.014122724533081055,0.014044761657714844,0.013642311096191406,-0.015392564952037342,-0.014355145014819447,0.01556509802273669,0.014097929000854492,0.014071464538574219,0.013803720474243164,601,0.0021045510284924953,0.005325956649374144,-0.016606292750476637,-0.018189422504553975,1.0,1.0,-0.017552947819658004,-0.01909342776788664,0.0,0.0,1.0,1.0,1.0,1.0,-5.368708341237677e-05,0.002705042918169479,0.0,0.0,1.0,1.0
482,-0.019402310560262318,-0.015843039054862396,-0.02416629127621295,0.003602139672201996,0.34783845379553224,0.2830793085679932,0.015310473567993164,0.3404429031979096,0.12093348821132566,0.0022887920959574243,0.3404429031979096,0.12093348821132566,0.00849617588610953,0.3499336947101311,0.12955843047852203,0.0028518599083225443,-0.015408920047704777,-0.01434353646060655,0.014507869999873517,0.01659417152404785,0.01701641082763672,0.0161285400390625,-0.015282405684784409,-0.014071224450660723,0.016292782704821922,0.016678333282470703,0.01666092872619629,0.016040563583374023,700,0.0018073345401045321,0.004575448519098796,-0.016737022281446176,-0.018208216272811793,1.0,1.0,-0.017511743503638627,-0.018928979900491628,0.0,0.0,1.0,1.0,1.0,1.0,-0.0011669759564627588,0.0014858229669164086,0.0,0.0,1.0,1.0
483,-0.019402752451817287,-0.015854819449101158,-0.024174411056029677,0.003601884391363346,0.330086747211792,0.27443050049291995,0.01087479349291992,0.3405245078725457,0.12098655139823625,0.0022872404484629446,0.3405245078725457,0.12098655139823625,0.008497073868807605,0.35002470922203127,0.12961671650538925,0.0028518802738517553,-0.015417345156432472,-0.014354102262763653,0.01457486174704399,0.016521930694580078,0.016429662704467773,0.01590418815612793,-0.015417427646603006,-0.014359314588823367,0.014574861805366636,0.016510725021362305,0.016556978225708008,0.016031742095947266,701,0.0018048923345321793,0.00456907937127069,-0.01673328078548481,-0.018201381843812765,1.0,1.0,-0.01751178501853957,-0.018929050122287235,0.0,0.0,1.0,1.0,1.0,1.0,-0.001166975980923734,0.001485822927715587,0.0,0.0,1.0,1.0
484,-0.019434678127723856,-0.01579776080744738,-0.024158141144668036,0.0035783285237006557,0.2832364710946045,0.26685425626000975,0.016574587260009765,0.3394463724383222,0.1205150936241119,0.0022437387100937805,0.3394463724383222,0.1205150936241119,0.00855945750834516,0.3498480799273773,0.12933010203435807,0.0028119249257999345,-0.01542038075861413,-0.014443338389528397,0.015366960420689278,0.019153833389282227,0.01909637451171875,0.018732547760009766,-0.015284910863509372,-0.014337673363974027,0.014208245239919814,0.018921852111816406,0.019136428833007812,0.01865363121032715,800,0.0015823480436429607,0.004007727304923818,-0.016737223982564543,-0.018228489162987183,1.0,1.0,-0.017631306607517095,-0.018977498849931215,0.0,0.0,1.0,1.0,1.0,1.0,-0.0004443809000959781,0.002278004192928507,0.0,0.0,1.0,1.0
485,-0.019390560909396885,-0.015789999280923738,-0.024059352075649583,0.003578106412097532,0.35685790717248533,0.34074545996362304,0.011035429963623047,0.339279153593609,0.12041911420387284,0.00549157990799807,0.339279153593609,0.12041911420387284,0.008552271281398382,0.3497159378087837,0.12924943333950067,0.0028058613152475106,-0.015363187978858923,-0.015789995574710787,0.01542828422180774,0.01871967315673828,0.01879405975341797,0.01852703094482422,-0.015346674028363701,-0.014358263717560323,0.015428282477529937,0.019473552703857422,0.019402027130126953,0.01870584487915039,801,0.0015800562856948693,0.0040024118235810705,-0.01579001184963892,-0.015790019124123898,1.0,1.0,-0.017644733886911554,-0.01897124717010441,0.0,0.0,1.0,1.0,1.0,1.0,-0.0004443801754196482,0.002278005037721137,0.0,0.0,1.0,1.0
486,-0.019454130073042884,-0.01578999798745286,-0.023305226168318992,0.0035574399295128525,0.36521262594519044,0.3233116399345703,0.014508977934570313,0.3409245125216527,0.12141116734924069,0.005485440490799458,0.3409245125216527,0.12141116734924069,0.008492716060284516,0.35158822110959737,0.13025582771301258,0.002780391247341969,-0.015426480387577891,-0.01578998212662299,0.014420685773672875,0.02189040184020996,0.02138233184814453,0.020572662353515625,-0.015422818693161873,-0.015789995007951585,0.016095538075193143,0.021390676498413086,0.021427392959594727,0.0207669734954834,900,0.001407097150495645,0.003563949932923367,-0.015790052086670635,-0.015790083824772424,1.0,1.0,-0.017679220898008986,-0.01902631683248186,0.0,0.0,1.0,1.0,1.0,1.0,-0.0014495878626515923,0.0011660573920516584,0.0,0.0,1.0,1.0
487,-0.019454447145207936,-0.015789996958178017,-0.023312190160519337,0.0035572434998013503,0.36847963420166013,0.32126598693176267,0.011687824931762694,0.3409131570578265,0.12139440168891494,0.0054804122087502615,0.3409131570578265,0.12139440168891494,0.008486389423211541,0.3515525421527524,0.13022426332128706,0.002780272499828552,-0.015433049608064825,-0.015789967689025047,0.01438167437885805,0.021302223205566406,0.021509885787963867,0.020755290985107422,-0.015433110076173637,-0.015789982299938186,0.014381674506255219,0.021697044372558594,0.02152872085571289,0.02115178108215332,901,0.0014056146766803928,0.003560077367713168,-0.015790095141361173,-0.015790153052081445,1.0,1.0,-0.017679277684221825,-0.019026357717547657,0.0,0.0,1.0,1.0,1.0,1.0,-0.0014495879277113338,0.0011660573103583266,0.0,0.0,1.0,1.0
488,-0.019432833477243967,-0.01578999661589315,-0.023236604548893276,0.003538846304730715,0.3141367768137207,0.3247042434499512,0.015335099449951171,0.342651193687651,0.12256850757661608,0.005545484913408969,0.342651193687651,0.12256850757661608,0.008438868800949404,0.3529532571962672,0.1310072001986086,0.0027690220315248182,-0.015558158721474164,-0.01578991884829558,0.01592475004119845,0.023984432220458984,0.02373981475830078,0.023401498794555664,-0.0155614101252286,-0.015789969632688288,0.014310678389338246,0.024516820907592773,0.02407979965209961,0.023581743240356445,1000,0.001267849860955124,0.0032094368055898734,-0.015790243175220046,-0.015790394186157422,1.0,1.0,-0.01771241220441782,-0.019038697516296867,0.0,0.0,1.0,1.0,1.0,1.0,-0.0004785093847754579,0.0022407022521677886,0.0,0.0,1.0,1.0
489,-0.019410710199176676,-0.01578999676866308,-0.023213871922222955,0.0035386703346357057,0.3146134519841309,0.30540878825061035,0.011825702250610352,0.342605565287473,0.12253369282358516,0.0055412412012838105,0.342605565287473,0.12253369282358516,0.008431734396860749,0.3528975048614752,0.13096722293813648,0.00276125408142214,-0.015540919789795837,-0.015789965509493745,0.015942363487430417,0.02405071258544922,0.023705482482910156,0.023481369018554688,-0.015521765925918935,-0.015789915854418843,0.01594236681949142,0.02466559410095215,0.02417898178100586,0.02369976043701172,1001,0.0012664614612999314,0.0032061112018071194,-0.015790104338606867,-0.015790169317203787,1.0,1.0,-0.01771169527775629,-0.019033127287267863,0.0,0.0,1.0,1.0,1.0,1.0,-0.00047851097366655523,0.0022406999458702815,0.0,0.0,1.0,1.0
490,-0.01947429622417015,-0.015789990509024902,-0.022879195991515985,0.003522101687463238,0.32801796046984866,0.29966658510266114,0.014817035102661132,0.34269076056105463,0.12247993363645977,0.005543581680315255,0.34269076056105463,0.12247993363645977,0.008435609126536197,0.35328151202469193,0.13108992959500704,0.0027145509664942423,-0.015522419910228045,-0.01578996451774605,0.016751228801980177,0.026516437530517578,0.026514530181884766,0.02564406394958496,-0.015433863802825304,-0.015789960128443237,0.01599526998189603,0.027004003524780273,0.026753902435302734,0.026344776153564453,1100,0.001152560673190909,0.002918083875089326,-0.015790124466612807,-0.01579019731323506,1.0,1.0,-0.017718741002835624,-0.018959601213574047,0.0,0.0,1.0,1.0,1.0,1.0,-3.2410947866323704e-06,0.0027601817201843796,0.0,0.0,1.0,1.0
